epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,265.741,3.06484,0.67009,0.92555,1.14228,0.000332516,0.000332516,0.0670809
2,533.797,1.06175,0.90629,0.99487,0.26848,0.000652666,0.000652666,0.0340677
3,770.286,0.61808,0.90629,0.99743,0.23929,0.000959615,0.000959615,0.00104131
4,1055.08,0.41592,0.92555,0.99743,0.1953,0.0009406,0.0009406,0.0009406
5,1304.36,0.34613,0.96534,0.99872,0.10212,0.0009208,0.0009208,0.0009208
6,1547.3,0.27475,0.9846,1,0.04352,0.000901,0.000901,0.000901
7,1793.87,0.22849,0.99487,1,0.02901,0.0008812,0.0008812,0.0008812
8,2038.07,0.2031,0.98845,1,0.02679,0.0008614,0.0008614,0.0008614
9,2304.07,0.2083,0.99101,1,0.02596,0.0008416,0.0008416,0.0008416
10,2564.75,0.15768,0.98845,1,0.03577,0.0008218,0.0008218,0.0008218
11,2812.83,0.1355,0.99615,1,0.01143,0.000802,0.000802,0.000802
12,3087.27,0.12422,0.99743,1,0.01482,0.0007822,0.0007822,0.0007822
13,3353.31,0.13568,0.99743,1,0.00819,0.0007624,0.0007624,0.0007624
14,3593.96,0.11863,1,1,0.00303,0.0007426,0.0007426,0.0007426
15,3842.14,0.09616,0.99615,1,0.00907,0.0007228,0.0007228,0.0007228
16,4103.11,0.09483,0.99615,1,0.00904,0.000703,0.000703,0.000703
17,4355.93,0.07957,0.99872,1,0.00359,0.0006832,0.0006832,0.0006832
18,4607.42,0.06706,0.99872,1,0.00363,0.0006634,0.0006634,0.0006634
19,4846.67,0.06816,1,1,0.00193,0.0006436,0.0006436,0.0006436
20,5086.38,0.06957,1,1,0.00223,0.0006238,0.0006238,0.0006238
21,5326.93,0.07835,0.99743,1,0.00425,0.000604,0.000604,0.000604
